endereco,rua,area,quartos,banheiros,vagas,preco
Floramar,,45,2,0,0,130000
Jardim Vitória,,44.44,2,1,1,144000
São João Batista,,50,2,1,1,200000
São João Batista (Venda Nova),,50,2,1,1,200000
São João Batista,,50,2,1,1,200000
Cachoeirinha,,52.94,2,1,1,235000
Nova Cachoeirinha,,52.94,2,1,1,235000
Califórnia,,39,2,1,1,130000
Betânia,,50,2,1,1,205000
Rio Branco,,55.86,2,1,1,249000
Piratininga (venda Nova),,55.86,2,1,1,249000
João Pinheiro,,50,2,1,1,199000
Camargos,,50,2,1,1,199000
Califórnia,,58,3,1,1,215000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Trevo,,50,2,1,1,224999
Santa Terezinha,,50,2,1,1,225000
Trevo,,50,2,1,1,225000
Carlos Prates,,95.79,3,1,0,238000
Carlos Prates,,95.79,3,1,0,238000
Dom Silvério,,75,2,1,1,240000
São Gabriel,,75,2,1,1,240000
Castelo,,50,2,1,1,240000
Engenho Nogueira,,50,2,1,1,240000
Palmares,,33.52,1,1,0,150000
Vila Cloris,,43,2,1,0,140000
Solar do Barreiro (Barreiro),,45,2,1,1,130000
Acaiaca,,44,2,1,1,143000
Jardim Guanabara,,45,2,0,0,130000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Piratininga (venda Nova),,55.86,2,1,1,249000
João Pinheiro,,50,2,1,1,199000
Camargos,,50,2,1,1,199000
Califórnia,,58,3,1,1,215000
Planalto,,44,2,1,1,209000
Jaqueline,,57,3,1,1,215000
Castelo,,60,2,1,1,160000
Itatiaia,,60,2,1,1,160000
Santa Terezinha,,65,2,1,1,170000
Canaã,,78,1,1,1,190000
Heliópolis,,64.95,3,1,1,250000
Heliópolis,,43.42,2,1,0,220000
Heliópolis,,43.42,2,1,0,220000
Santa Cecília Vale do Jatobá (Barreiro),,45,2,1,1,150000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Mantiqueira,Rua Wanda Abras,43,2,1,1,185000
Camargos,Rua Ilmenita,41.15,2,1,1,190000
Glalijá,Rua Ilmenita,41.15,2,1,1,190000
Camargos,,48.57,2,1,1,240000
Serrano,,63.98,3,1,1,213500
Castelo,,65,3,1,1,249997
Serrano,,65,3,1,1,249997
Castelo,,65,3,1,1,249997
Serrano,,65,3,1,1,249997
São Bernardo,,62.8,2,1,1,250000
Heliópolis,,62.8,2,1,1,250000
Bandeirantes (pampulha),,74.86,2,3,1,250000
Paquetá,,74.86,2,3,1,250000
Heliópolis,,67.43,3,1,1,250000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Distrito Industrial (vale do Jatobá),,42,2,1,1,130000
Distrito Industrial (vale do Jatobá),,42,2,1,1,130000
Bonsucesso,,57,2,1,1,170000
Milionários,,57,2,1,1,170000
Palmares,,33.43,1,1,0,172328
Jardim América,,48,2,2,1,180000
Vitória,Avenida Magenta,44,2,1,1,180000
Heliópolis,,45.5,2,1,1,220000
São Bernardo,,45.5,2,1,1,220000
Santa Helena (barreiro),,80,3,1,0,230000
Santa Helena (barreiro),,80,3,1,0,230000
São João Batista,,49.52,2,1,1,245000
Horto,,56,2,1,0,250000
Milionários,,60,3,1,1,250000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Carlos Prates,,60,3,2,1,289899
Padre Eustáquio,,60,3,2,1,289899
Nazaré,,60,2,1,0,290000
João Pinheiro,,65,2,1,1,295998
Califórnia,,65,2,1,1,295998
Leblon (venda Nova),,53.86,2,2,1,270173
Leblon (venda Nova),,53.86,2,2,1,270173
Leblon (venda Nova),,53.86,2,2,1,270173
Leblon (venda Nova),,53.86,2,2,1,270173
Leblon (venda Nova),,53.86,2,2,1,270173
Leblon (venda Nova),,53.86,2,2,1,270173
Leblon (venda Nova),,53.86,2,2,1,270173
Heliópolis,,64.95,3,1,1,250000
Santa Efigênia,,64,2,1,1,295000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Monte Azul,Rua Padre Argemiro Moreira,43.33,2,1,1,160000
Maria Teresa,Rua Padre Argemiro Moreira,43.33,2,1,1,160000
Centro,Rua Jequeri,67,1,1,0,165000
Lagoinha,Rua Jequeri,67,1,1,0,165000
Centro,Rua Jequeri,67,1,1,0,165000
Lagoinha,Rua Jequeri,67,1,1,0,165000
Palmares,Rua Coronel Jairo Pereira,28.59,1,1,1,170000
Jardim Vitória,Rua Lincoln Amarante Ribeiro,44.44,2,1,1,170000
Madre Gertrudes,Rua Hilarino Benedito Malta,48,2,1,1,170000
Jardim Vitória,Rua Dois Mil Quatrocentos e Sessenta e Oito,43.82,2,1,0,170000
Jardim Vitória,Rua Lincoln Amarante Ribeiro,44.44,2,1,1,170000
São João Batista,Rua Doutor Álvaro Camargos,60,2,1,1,170000
Maria Teresa,Rua Padre Argemiro Moreira,43.33,2,1,1,175000
São Gabriel,Rua Padre Argemiro Moreira,43.33,2,1,1,175000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Glalijá,Rua Titânio,43.42,2,1,1,175000
Camargos,Rua Titânio,43.42,2,1,1,175000
Serra Verde (venda Nova),Rua Otaviano Penaforte,56,3,1,1,175000
Fernão Dias,Rua Ana Pereira Menezes,43,2,1,1,179000
São Gabriel,Rua Ana Pereira Menezes,43,2,1,1,179000
Santa Lúcia,Rua Manoel Guilherme Roscoe,47.5,2,1,1,180000
Califórnia,Rua José Cláudio Sanches,40,2,1,1,180000
Santa Lúcia,Rua Manoel Guilherme Roscoe,47.5,2,1,1,180000
Ribeiro de Abreu,Rua Serra da Moeda,58.66,3,1,0,180000
Olaria,Rua Monte Carmelo,60.47,2,1,1,185000
Juliana,Rua da Galeria,48.56,2,1,1,185000
Juliana,Rua da Galeria,48.56,2,1,1,190000
Jaqueline,Rua João Gusman,44.04,2,1,1,190000
Lagoinha,Rua Jequeri,65,2,2,0,195000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Pongelupe (barreiro),,65,2,1,1,180000
Solar do Barreiro (Barreiro),,65,2,1,1,180000
Califórnia,,41,2,1,1,180000
Camargos,,52,2,1,1,185000
Juliana,,48.56,2,1,1,185000
Cachoeirinha,,65.69,2,1,1,190000
Nova Cachoeirinha,,65.69,2,1,1,190000
São Gabriel,,47.44,2,1,1,195000
Ouro Minas,,47.44,2,1,1,195000
Madre Gertrudes,,59,3,1,1,198000
Madre Gertrudes,,59,3,1,1,198000
Ouro Preto,,50,2,1,1,200000
Paquetá,,50,2,1,1,200000
Castelo,,50,2,1,1,200000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Vista Alegre,Rua Hilarino Benedito Malta,48,2,1,1,175000
Madre Gertrudes,Rua Hilarino Benedito Malta,48,2,1,1,175000
Floresta,Rua Pouso Alegre,54,2,1,0,230000
Planalto,Rua Osório Duque Estrada - Lado Par,64.35,2,1,1,250000
Coqueiros,Rua Capanema,65,3,1,0,250000
Vitória,Rua dos Borges,45,2,1,1,130000
Jardim Vitória,Rua dos Borges,45,2,1,1,130000
Visconde do Rio Branco,Rua Zélia,47,2,1,1,160000
Piratininga (venda Nova),Rua Zélia,47,2,1,1,160000
Vitória,Rua Nilza Brito,45.15,2,1,1,132000
Jardim Vitória,Rua Berenice Ribeiro de Miranda,44,2,1,1,149000
Jardim Vitória,Rua Lincoln Amarante Ribeiro,44.3,2,1,1,150000
Piratininga (venda Nova),Rua Erva Mate,49,2,1,1,160000
Nova Gameleira,Rua Cândido de Souza,44,2,1,1,160000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Vitória,Rua Ernesto Tognolo,47.41,2,1,1,220000
Pousada Santo Antônio,Rua Ernesto Tognolo,47.41,2,1,1,220000
Betânia,Rua Júlio de Castilho,50.71,2,1,1,240000
Cinquentenário,Rua Júlio de Castilho,50.71,2,1,1,240000
Estrela do Oriente,Rua Waldemar Correia de Almeida,53.37,2,1,0,240000
Nova Suíssa,Rua Carmelita Prates da Silva,28.33,1,2,1,250000
Salgado Filho,Rua Carmelita Prates da Silva,28.33,1,2,1,250000
Califórnia,Rua Visconde de Mauá,43.94,2,1,1,245000
Coqueiros,Rua Barbosa,45,2,1,1,199000
São Salvador,Rua Barbosa,45,2,1,1,199000
Jaraguá,Rua Padre Leopoldo Mertens,60,2,1,1,205000
São Francisco,Rua Padre Leopoldo Mertens,60,2,1,1,205000
Padre Eustáquio,Rua Vila Rica,60,3,2,1,230000
Padre Eustáquio,Rua Vila Rica,60,3,2,1,230000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
São Gabriel,,57,2,1,1,160000
Jardim América,,44.32,2,1,1,165000
Solar do Barreiro (Barreiro),,45,2,1,0,165000
Europa,,47.74,2,1,1,170000
Itaipu,,50.54,2,1,1,170000
Dom Silvério,,49,2,1,1,170000
Palmares,,35.79,1,1,0,172328
Palmares,,30.53,1,1,0,172328
Vista Alegre,,45,2,1,1,175000
Madre Gertrudes,,45,2,1,1,175000
São Gabriel,,44,2,1,1,180000
Heliópolis,,52.57,2,1,1,180000
Urucuia,,57.39,2,1,0,180000
Califórnia,,41,2,1,1,180000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Jaqueline,Rua João Gusman,70.21,2,1,1,195000
Trevo,Rua Aloísio Aragão Villar,45,2,1,1,195000
São Cristóvão,Rua Popular,49.96,2,1,1,198000
Paulo Vi,Rua Antônio Mariano de Abreu,47.94,2,1,1,200000
Vila Cloris,Rua das Amoreiras,46,2,1,1,200000
Camargos,Rua Blenda,48,2,1,1,200000
São João Batista,Rua Antenor Perdigão,76,3,1,1,200000
Venda Nova,Avenida Vilarinho,53.41,2,1,1,210000
Juliana,Rua Joaquim Clemente,49.72,2,1,1,210000
Betânia,Rua Itamar Teixeira,44,2,1,1,210000
Belmonte,Rua Nossa Senhora do Amparo,47.44,2,1,1,212000
Ouro Minas,Rua Nossa Senhora do Amparo,47.44,2,1,1,212000
Vila Oeste,Rua do Garimpo,50.77,2,1,1,213000
Venda Nova,,53.66,2,1,1,213000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Padre Eustáquio,,51.84,2,1,1,230000
Vista Alegre,,51,3,1,0,240000
Betânia,,51,3,1,0,240000
Lagoinha,Rua Diamantina,45,1,1,0,195000
Heliópolis,Rua Sambaíba,58.32,2,1,1,240000
Guarani,Rua Sambaíba,58.32,2,1,1,240000
Centro,Rua São Paulo,38,1,0,0,230000
São João Batista,Rua Antenor Perdigão,76,3,1,1,200000
Havaí,Rua Maria Beatriz,64,2,1,1,205000
Urucuia,Rua Três,67.8,3,1,1,250000
Cardoso,Rua Três,67.8,3,1,1,250000
Alto dos Pinheiros,,41.43,2,1,0,190000
João Pinheiro,,41.43,2,1,0,190000
São Francisco,,77,2,1,1,200000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Califórnia,,58.64,3,1,1,215000
Califórnia II,,58.64,3,1,1,215000
Califórnia II,,58.64,3,1,1,215000
Califórnia,,58.64,3,1,1,215000
Coração Eucarístico,,50,2,1,1,220000
Padre Eustáquio,,50,2,1,1,220000
Planalto,,44,2,1,1,225000
Alto dos Pinheiros,,65,2,1,1,240000
João Pinheiro,,65,2,1,1,240000
Ipiranga,,85,3,2,1,250000
Renascença,,85,3,2,1,250000
Colégio Batista,,56.81,3,1,1,250000
Lagoinha,,56.81,3,1,1,250000
Palmeiras,Rua Deputado Sebastião Nascimento,72,2,1,1,250000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
São Salvador,Rua Barbosa,41.94,2,1,1,215000
Manacás,Rua das Amoreiras,45,2,1,1,215000
Jaqueline,Rua Orlando Mendes,63.23,3,1,1,215000
Engenho Nogueira,Rua Engenho do Sol,50,2,1,1,218000
Camargos,Rua Ester Augusta Ribeiro,50,2,1,1,218000
Madre Gertrudes,Rua São Carlos,50,2,1,1,219000
Jardim Montanhês,Rua Alípio de Melo,42.93,2,1,1,220000
Maria Helena,Rua Cricaré,49.87,2,1,1,220000
Lagoinha,Rua Jequeri,86,2,1,0,220000
Frei Leopoldo,Rua Lilium,49,2,1,1,220000
Santa Terezinha,Avenida Professor Clóvis Salgado,69.54,3,1,2,220000
Itatiaia,Avenida Professor Clóvis Salgado,69.54,3,1,2,220000
Jaqueline,Rua Jose Gomes Domingues,60,3,1,1,220000
São João Batista,Rua Antenor Perdigão,76,3,1,1,220000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Santa Amélia,Rua Comendador Teixeira da Costa,43,2,1,1,220000
São Cristóvão,Avenida José Bonifácio,62,2,1,1,225000
Santa Mônica,Rua Visconde de Taunay,46.71,2,1,1,225000
Salgado Filho,Rua Batista Carneiro,40,2,1,1,230000
Santa Cruz,Rua José Cleto,44,2,1,1,230000
Renascença,Rua Descalvado,45.56,2,1,0,240000
Renascença,Rua Descalvado,45.56,2,1,0,240000
Prado,Rua Perimetral,52.54,2,1,0,247000
Santa Mônica,Rua Doutor Álvaro Camargos,66,2,1,1,250000
São João Batista,Rua Doutor Álvaro Camargos,66,2,1,1,250000
Santa Mônica,Rua Olavo Bilac,62,2,1,1,250000
Santa Maria,Rua Blenda,46.65,2,1,1,250000
Camargos,Rua Blenda,46.65,2,1,1,250000
Colégio Batista,Rua Itamogi,68,2,1,0,250000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Venda Nova,Rua José Costa,44.27,2,1,1,230000
São João Batista (Venda Nova),Rua José Costa,44.27,2,1,1,230000
Conjunto Califórnia,Rua dos Cornetins,59.1,2,1,1,230000
Copacabana,Rua Joinville,63.67,3,1,1,230000
Conjunto Califórnia,Rua dos Cornetins,59,3,1,1,230000
Copacabana,Rua Joinville,70,2,1,1,237000
Vila Cloris,Rua dos Maçaricos,47,2,1,1,239000
Centro,Rua dos Tupis,28.9,1,1,0,240000
Bonfim,Rua Guapé,70,2,1,1,240000
Santo André,Rua Guapé,70,2,1,1,240000
Centro,Avenida Augusto de Lima,51,2,1,0,240000
Havaí,Avenida Costa do Marfim,72,2,1,1,240000
Nova Granada,Rua Professor Arthur Velloso,45,2,1,1,240000
Jardim América,Rua Professor Arthur Velloso,45,2,1,1,240000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Estoril,Rua Paulo Piedade Campos,50,2,1,1,225000
Estoril,Rua Paulo Piedade Campos,50,2,1,1,225000
Letícia,Avenida Elias Antônio Issa,51.14,2,1,1,225000
Mantiqueira,Rua das Chácaras,48,2,1,1,225000
Jaqueline,Rua Orlando Mendes,61.4,3,1,1,225000
Floramar,Rua Osório Duque Estrada,46,2,1,1,229000
Campo Alegre,Rua Osório Duque Estrada,46,2,1,1,229000
Castelo,Rua Vulcânia,60,2,1,1,230000
Conjunto Celso Machado,Rua Vulcânia,60,2,1,1,230000
São Francisco,Rua Porto,77,2,1,1,230000
Trevo,Rua Carlos Lacerda,43,2,1,1,230000
Centro,Rua do Acre,79.1,2,1,0,230000
Trevo,Rua Aloísio Aragão Villar,45,2,1,1,230000
Colégio Batista,Rua Itamogi,58,2,1,0,230000
{{ nomeBairro }}{{#if logradouroPublico}},{{ logradouroPublico}}{{/if}},{{areaRealPrivativa}}{{metragem}},0,0,0,"{{#ifCond paramTransacao ""venda""}}{{ valorImovelFormat }}{{else}}{{ valorLocacaoFormat }}{{/ifCond}}"
Jardim Leblon,Rua Pedrinópolis,55,2,2,1,199900
Manacás,Rua Wiver Hernandes da Silva,42.55,2,1,1,200000
Monte Azul,Rua Padre Argemiro Moreira,48,2,1,1,200000
Maria Teresa,Rua Padre Argemiro Moreira,48,2,1,1,200000
Camargos,Rua Blenda,46.65,2,1,1,210000
São João Batista (Venda Nova),Rua Doutor Álvaro Camargos - de 1120-1121 a,49.42,2,1,1,212000
São João Batista,Rua Doutor Álvaro Camargos,49.42,2,1,1,212000
Lagoinha,Rua Diamantina,45.5,2,1,1,215000
Pousada Santo Antônio,Rua Ernesto Tognolo,47.41,2,1,1,215000
Nova Gameleira,Rua Djezar Leite,45.73,2,1,1,218000
Gameleira,Rua Djezar Leite,45.73,2,1,1,218000
Castelo,Rua Cantor Luiz Gonzaga,40.44,2,1,0,219000
São Bernardo,Rua Edson Tomas Santos,51.29,2,1,1,220000
Serrano,Rua Geraldo de Lima Viana,56.45,2,1,1,220000
